benchmark,input,smt_to_ll_seconds,slot_generation_seconds,chain_generation_seconds,first_generation_seconds,last_generation_seconds,random_generation_seconds,all-bfs_generation_seconds,all-dfs_generation_seconds,slot_solver_time,chain_solver_time,first_solver_time,last_solver_time,random_solver_time,all-bfs_solver_time,all-dfs_solver_time,slot_total_seconds,chain_total_seconds,first_total_seconds,last_total_seconds,random_total_seconds,all-bfs_total_seconds,all-dfs_total_seconds
convert-jpg2gif-query-1424,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1424.smt2,26.967,0.783,3.327,2.882,2.801,2.884,10.829,,0.592408,2.99173,0.867586,1.23375,0.85287,1.36416,1.41383,28.3424,33.2857,30.7166,31.0017,30.7039,39.1602,
convert-jpg2gif-query-1462,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1462.smt2,38.212,0.866,3.518,3.19,2.934,3.146,11.341,,0.474432,3.73675,0.868669,1.73245,1.26749,1.57036,1.48453,39.5524,45.4668,42.2707,42.8785,42.6255,51.1234,
convert-jpg2gif-query-1463,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1463.smt2,37.889,0.85,3.571,3.145,3.015,3.098,11.373,,0.489385,3.65946,1.04608,1.42559,1.38575,1.52922,1.5062,39.2284,45.1195,42.0801,42.3296,42.3728,50.7912,
innd_innd_vc32481,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/inn_v2.4.3/innd_innd_vc32481.smt2,0.208,0.033,0.136,0.118,0.118,0.127,0.215,,1.01123,1.57096,0.979435,0.932608,1.15313,1.10165,0.990754,1.25223,1.91496,1.30543,1.25861,1.48813,1.52465,
innd_innd_vc32499,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/inn_v2.4.3/innd_innd_vc32499.smt2,0.21,0.032,0.121,0.12,0.127,0.129,0.249,,1.24045,1.90385,1.18322,1.33405,1.0481,1.1097,0.943014,1.48245,2.23485,1.51322,1.67105,1.3871,1.5687,
innd_innd_vc32635,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/inn_v2.4.3/innd_innd_vc32635.smt2,0.192,0.032,0.129,0.122,0.116,0.111,0.209,,1.30562,0.976034,1.84769,1.48352,1.5954,1.44968,1.12495,1.52962,1.29703,2.16169,1.79152,1.8984,1.85068,
innd_innd_vc32662,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/inn_v2.4.3/innd_innd_vc32662.smt2,0.253,0.037,0.132,0.125,0.139,0.135,0.288,,21.346,11.5418,2.77345,4.3974,5.25549,5.27091,5.03839,21.636,11.9268,3.15145,4.7894,5.64349,5.81191,
innd_innd_vc32740,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/inn_v2.4.3/innd_innd_vc32740.smt2,0.096,0.02,0.092,0.09,0.091,0.086,0.115,,2.13499,2.02371,4.95878,2.80687,3.19246,2.76036,2.17336,2.251,2.21171,5.14478,2.99387,3.37446,2.97136,
mobiledevice_bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/MobileDevice/mobiledevice_bit8_na6_nr3_paired.smt2,21.918,0.117,1.148,0.521,0.508,0.52,,,27.8064,15.6601,7.5742,7.85789,16.0613,14.288,14.1437,49.8414,38.7261,30.0132,30.2839,38.4993,,
src_wget_vc18516,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/wget_v1.10.2/src_wget_vc18516.smt2,0.158,0.032,0.114,0.11,0.117,0.126,,,3.56268,2.8434,7.73645,8.67649,4.38625,8.58618,7.82388,3.75268,3.1154,8.00445,8.95149,4.67025,,
string1x8.10._bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/StringMatching/string1x8.10._bit8_na6_nr3_paired.smt2,32.512,0.146,1.858,0.681,0.646,0.685,984.126,,650.061,139.68,104.282,44.8795,730.99,10.1653,97.9541,682.719,174.05,137.475,78.0375,764.187,1026.8,
string1x8.2._bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/StringMatching/string1x8.2._bit8_na6_nr3_paired.smt2,45.136,0.181,3.132,0.831,0.78,0.855,,,650.018,550.317,299.901,188.056,533.013,139.41,38.1392,695.335,598.585,345.868,233.972,579.004,,
string1x8.3._bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/StringMatching/string1x8.3._bit8_na6_nr3_paired.smt2,18.501,0.119,1.182,0.526,0.514,0.532,,,117.246,31.1987,34.7222,11.0776,66.6849,46.1792,102.593,135.866,50.8817,53.7492,30.0926,85.7179,,
string1x8.4._bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/StringMatching/string1x8.4._bit8_na6_nr3_paired.smt2,11.147,0.085,0.651,0.382,0.366,0.38,,,46.1832,112.828,93.4183,132.242,117.943,27.3183,122.963,57.4152,124.626,104.947,143.755,129.47,,
string1x8.6._bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/StringMatching/string1x8.6._bit8_na6_nr3_paired.smt2,18.645,0.12,1.169,0.51,0.489,0.51,560.036,,71.5137,109.355,30.8181,33.7245,84.7457,29.8884,24.5042,90.2787,129.169,49.9731,52.8585,103.901,608.569,
string1x8.7._bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/StringMatching/string1x8.7._bit8_na6_nr3_paired.smt2,11.072,0.087,0.647,0.384,0.369,0.383,,,315.672,162.946,136.101,177.432,302.617,76.4404,141.268,326.831,174.665,147.557,188.873,314.072,,
