benchmark,input,smt_to_ll_seconds,slot_generation_seconds,chain_generation_seconds,first_generation_seconds,last_generation_seconds,random_generation_seconds,all-bfs_generation_seconds,all-dfs_generation_seconds,slot_solver_time,chain_solver_time,first_solver_time,last_solver_time,random_solver_time,all-bfs_solver_time,all-dfs_solver_time,slot_total_seconds,chain_total_seconds,first_total_seconds,last_total_seconds,random_total_seconds,all-bfs_total_seconds,all-dfs_total_seconds
convert-jpg2gif-query-1402,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1402.smt2,26.011,0.763,3.179,2.779,2.73,2.745,11.098,11.192,0.52333,3.64588,0.840422,0.863114,1.25434,0.799439,1.34669,27.2973,32.8359,29.6304,29.6041,30.0103,37.908439,38.549690000000005
convert-jpg2gif-query-1424,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1424.smt2,26.967,0.783,3.306,2.882,2.801,2.884,11.224,11.181,0.592408,3.02831,0.867586,1.23375,0.85287,1.36416,1.41383,28.3424,33.3013,30.7166,31.0017,30.7039,39.55516,39.56182999999999
convert-jpg2gif-query-1462,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1462.smt2,38.212,0.866,3.417,3.19,2.934,3.146,11.479,11.518,0.474432,3.82437,0.868669,1.73245,1.26749,1.57036,1.48453,39.5524,45.4534,42.2707,42.8785,42.6255,51.26136,51.21453
convert-jpg2gif-query-1463,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1463.smt2,37.889,0.85,3.42,3.145,3.015,3.098,11.469,11.33,0.489385,3.90644,1.04608,1.42559,1.38575,1.52922,1.5062,39.2284,45.2154,42.0801,42.3296,42.3728,50.887220000000006,50.7252
innd_innd_vc32481,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/inn_v2.4.3/innd_innd_vc32481.smt2,0.208,0.033,0.131,0.118,0.118,0.127,0.22,0.209,1.01123,2.13198,0.979435,0.932608,1.15313,1.10165,0.990754,1.25223,2.47098,1.30543,1.25861,1.48813,1.52965,1.407754
innd_innd_vc32499,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/inn_v2.4.3/innd_innd_vc32499.smt2,0.21,0.032,0.12,0.12,0.127,0.129,0.25,0.217,1.24045,2.45094,1.18322,1.33405,1.0481,1.1097,0.943014,1.48245,2.78094,1.51322,1.67105,1.3871,1.5696999999999999,1.370014
innd_innd_vc32635,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/inn_v2.4.3/innd_innd_vc32635.smt2,0.192,0.032,0.126,0.122,0.116,0.111,0.214,0.202,1.30562,1.02472,1.84769,1.48352,1.5954,1.44968,1.12495,1.52962,1.34272,2.16169,1.79152,1.8984,1.85568,1.5189499999999998
innd_innd_vc32662,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/inn_v2.4.3/innd_innd_vc32662.smt2,0.253,0.037,0.132,0.125,0.139,0.135,0.287,0.263,21.346,6.97542,2.77345,4.3974,5.25549,5.27091,5.03839,21.636,7.36042,3.15145,4.7894,5.64349,5.81091,5.55439
innd_innd_vc32740,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/inn_v2.4.3/innd_innd_vc32740.smt2,0.096,0.02,0.09,0.09,0.091,0.086,0.126,0.118,2.13499,2.52826,4.95878,2.80687,3.19246,2.76036,2.17336,2.251,2.71426,5.14478,2.99387,3.37446,2.98236,2.38736
mobiledevice_bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/MobileDevice/mobiledevice_bit8_na6_nr3_paired.smt2,21.918,0.117,1.111,0.521,0.508,0.52,453.975,449.506,27.8064,4.72799,7.5742,7.85789,16.0613,14.288,14.1437,49.8414,27.757,30.0132,30.2839,38.4993,490.18100000000004,485.5677
src_wget_vc18516,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/wget_v1.10.2/src_wget_vc18516.smt2,0.158,0.032,0.115,0.11,0.117,0.126,0.21,0.2,3.56268,4.24384,7.73645,8.67649,4.38625,8.58618,7.82388,3.75268,4.51684,8.00445,8.95149,4.67025,8.954180000000001,8.18188
string1x8.10._bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/StringMatching/string1x8.10._bit8_na6_nr3_paired.smt2,32.512,0.146,1.741,0.681,0.646,0.685,761.142,754.741,650.061,48.7866,104.282,44.8795,730.99,10.1653,97.9541,682.719,83.0396,137.475,78.0375,764.187,803.8193,885.2071
string1x8.2._bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/StringMatching/string1x8.2._bit8_na6_nr3_paired.smt2,45.136,0.181,3.124,0.831,0.78,0.855,1589.37,1079.59,650.018,298.693,299.901,188.056,533.013,139.41,38.1392,695.335,346.953,345.868,233.972,579.004,1773.916,1162.8652
string1x8.3._bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/StringMatching/string1x8.3._bit8_na6_nr3_paired.smt2,18.501,0.119,1.116,0.526,0.514,0.532,481.403,477.863,117.246,92.1094,34.7222,11.0776,66.6849,46.1792,102.593,135.866,111.726,53.7492,30.0926,85.7179,546.0832,598.957
string1x8.4._bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/StringMatching/string1x8.4._bit8_na6_nr3_paired.smt2,11.147,0.085,0.626,0.382,0.366,0.38,167.463,166.026,46.1832,86.63,93.4183,132.242,117.943,27.3183,122.963,57.4152,98.403,104.947,143.755,129.47,205.92829999999998,300.13599999999997
string1x8.6._bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/StringMatching/string1x8.6._bit8_na6_nr3_paired.smt2,18.645,0.12,1.144,0.51,0.489,0.51,472.355,469.729,71.5137,97.8151,30.8181,33.7245,84.7457,29.8884,24.5042,90.2787,117.604,49.9731,52.8585,103.901,520.8884,512.8782
string1x8.7._bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/StringMatching/string1x8.7._bit8_na6_nr3_paired.smt2,11.072,0.087,0.616,0.384,0.369,0.383,169.708,167.4,315.672,187.772,136.101,177.432,302.617,76.4404,141.268,326.831,199.46,147.557,188.873,314.072,257.2204,319.74
